,ao_hechos,delito,categoria_delito,longitud,latitud
1041391,2021,VIOLACION,VIOLACIÓN,-99.1426823197662,19.553728495404197
1041481,2021,VIOLACION,VIOLACIÓN,-99.1531637797036,19.4377813682223
1041500,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.03929472019199,19.3214734288339
1041501,2021,VIOLACION TUMULTUARIA,VIOLACIÓN,-99.02666116955221,19.1821365395444
1041505,2021,VIOLACION,VIOLACIÓN,-99.14258002024928,19.4443088794092
1041653,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.10239637026008,19.361326919590102
1041775,2021,VIOLACION,VIOLACIÓN,-99.02434676994119,19.32249364419
1041830,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1827824000202,19.4444213507612
1041831,2021,VIOLACION,VIOLACIÓN,-99.09537636021021,19.508993613340103
1042102,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.12287951026079,19.4448640519547
1042211,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.00835836979141,19.259130222972104
1042333,2021,VIOLACION,VIOLACIÓN,-99.09568190984172,19.4546265467385
1042849,2021,VIOLACION,VIOLACIÓN,-99.0910577795788,19.438967233735102
1043028,2021,VIOLACION,VIOLACIÓN,-99.0908905900795,19.467919728648802
1043123,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2027770501953,19.387589130172397
1043270,2021,VIOLACION,VIOLACIÓN,-99.15640599981371,19.5187269628175
1043497,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0924578904668,19.248737808584302
1043545,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0648257702429,19.4036592271863
1044084,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.19175863020969,19.3459419336668
1044112,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.10545676987779,19.356766522431897
1044431,2021,VIOLACION,VIOLACIÓN,-99.1734203699634,19.428858889980802
1044920,2021,VIOLACION,VIOLACIÓN,-99.2389480798412,19.304914431476398
1045286,2021,VIOLACION,VIOLACIÓN,-99.05744657012958,19.331673603755103
1045516,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.17593310024029,19.414149733455897
1046377,2021,VIOLACION,VIOLACIÓN,-99.1262215395896,19.306837904089697
1046621,2021,VIOLACION,VIOLACIÓN,-99.11307915978279,19.2691033725784
1048088,2021,VIOLACION,VIOLACIÓN,-99.1304688201796,19.4714925941489
1048638,2021,VIOLACION,VIOLACIÓN,-99.10422385021592,19.4288778181874
1048788,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.18554664038342,19.3785256169146
1048803,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2390124500726,19.296559336949198
1048876,2021,VIOLACION,VIOLACIÓN,-99.0871953999995,19.3044923213549
1049021,2021,VIOLACION,VIOLACIÓN,-99.1997328399209,19.446060906121602
1049073,2021,VIOLACION,VIOLACIÓN,-99.230823000261,19.3797129572582
1049433,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.26573253016741,19.302343650215
1049506,2021,VIOLACION,VIOLACIÓN,-99.2440941898987,19.338442802918998
1049570,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2119435998745,19.3596264406359
1049690,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0752112900548,19.386025116291897
1049761,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.077314139704,19.2509712506493
1049849,2021,VIOLACION,VIOLACIÓN,-99.0825506999509,19.3278747206742
1049890,2021,VIOLACION,VIOLACIÓN,-99.0303204002698,19.2498298893394
1050353,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.09463494975441,19.189748273924803
1050415,2021,VIOLACION,VIOLACIÓN,-99.2050337795424,19.3859743530746
1050622,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2801730202121,19.3735003470539
1050624,2021,VIOLACION,VIOLACIÓN,-99.13720921018779,19.4544665027787
1050638,2021,VIOLACION,VIOLACIÓN,-99.19036670023242,19.2138105022995
1051111,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2136293599006,19.3257562328999
1051125,2021,VIOLACION,VIOLACIÓN,-99.1484910301582,19.5325125306226
1051332,2021,VIOLACION,VIOLACIÓN,-99.06662374954229,19.3475346585964
1051796,2021,VIOLACION,VIOLACIÓN,-99.147759679744,19.433099112134197
1052026,2021,VIOLACION,VIOLACIÓN,-99.1280052099259,19.3173924627438
1052205,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0965618299006,19.4272067919633
1052282,2021,VIOLACION,VIOLACIÓN,-99.067493240371,19.323077440444102
1052696,2021,VIOLACION,VIOLACIÓN,-99.2410495902396,19.3217296237966
1052717,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.145956340003,19.4728691400488
1052901,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.0134301797062,19.369742883527397
1053083,2021,VIOLACION,VIOLACIÓN,-99.2506997296275,19.3596562590877
1053197,2021,VIOLACION,VIOLACIÓN,-99.1710010196057,19.423227643809103
1053199,2021,VIOLACION,VIOLACIÓN,-98.9689660801917,19.3122989694227
1053234,2021,VIOLACION EQUIPARADA Y ROBO DE VEHICULO,VIOLACIÓN,-99.2204394895285,19.3092969323564
